site_year,year,exp_plot_number,block,plot,N_level,N_level_kgha,biomass_plus_bag_g,paper_bag_g,ring_size,num_of_paper_bags,sample_weight_mg,sample_N_ug,NDVI_1,NDVI_2,NDVI_3,NDVI_4
RES-16,2016,101,9,41,225,225,293.5,45.5,0.5,1.0,3.01,116.88317007,0.70,0.74,0.72,n/a
RES-16,2016,102,9,42,0,0,146.0,45.5,0.5,1.0,3.21,62.81003898,0.27,0.33,0.47,n/a
RES-16,2016,103,9,43,175,175,277.9,45.5,0.5,1.0,3.241,119.99855852,0.72,0.72,0.74,n/a
RES-16,2016,104,9,44,125,125,265.9,45.5,0.5,1.0,3.309,94.66236501,0.69,0.64,0.65,n/a
RES-16,2016,105,9,45,75,75,229.5,45.5,0.5,1.0,3.032,80.88320695,0.61,0.63,0.66,n/a
RES-16,2016,201,10,46,125,125,219.3,45.5,0.5,1.0,3.3,92.87709032,0.65,0.68,0.70,n/a
RES-16,2016,202,10,47,75,75,200.4,45.5,0.5,1.0,3.078,62.59329625,0.55,0.57,0.58,n/a
RES-16,2016,203,10,48,175,175,277.7,45.5,0.5,1.0,2.813,79.94101217,0.71,0.71,0.74,n/a
RES-16,2016,204,10,49,225,225,282.9,45.5,0.5,1.0,3.222,105.34974526,0.73,0.71,0.73,n/a
RES-16,2016,205,10,50,0,0,132.4,45.5,0.5,1.0,3.345,61.81865336,0.36,0.35,0.38,n/a
RES-16,2016,301,11,51,175,175,245.9,45.5,0.5,1.0,3.032,108.84135780,0.72,0.73,0.72,n/a
RES-16,2016,302,11,52,225,225,202.5,45.5,0.5,1.0,2.983,112.91618671,0.73,0.74,0.73,n/a
RES-16,2016,303,11,53,125,125,211.9,45.5,0.5,1.0,2.603,83.95168401,0.71,0.69,0.73,n/a
RES-16,2016,304,11,54,0,0,134.6,45.5,0.5,1.0,3.047,58.94525868,0.50,0.48,0.47,n/a
RES-16,2016,305,11,55,75,75,207.8,45.5,0.5,1.0,2.935,69.05675409,0.68,0.68,0.61,n/a
RES-16,2016,401,12,56,0,0,118.8,45.5,0.5,1.0,3.523,74.15274117,0.46,0.49,0.50,n/a
RES-16,2016,402,12,57,75,75,184.0,45.5,0.5,1.0,2.802,63.49138180,0.62,0.66,0.68,n/a
RES-16,2016,403,12,58,225,225,236.7,45.5,0.5,1.0,2.86,106.03103124,0.74,0.76,0.74,n/a
RES-16,2016,404,12,59,175,175,233.2,45.5,0.5,1.0,3.37,104.49376341,0.70,0.69,0.69,n/a
RES-16,2016,405,12,60,125,125,237.3,45.5,0.5,1.0,2.912,93.80669039,0.73,0.74,0.73,n/a
Nicolaus-17,2017,101,21,109,225,225,361.3,45.5,0.5,1.0,3.168,79.38862514,0.77,0.77,0.79,n/a
Nicolaus-17,2017,102,21,110,0,0,264.3,45.5,0.5,1.0,3.425,61.05983440,0.50,0.52,0.46,n/a
Nicolaus-17,2017,103,21,111,125,125,318.3,45.5,0.5,1.0,3.092,80.67835796,0.67,0.67,0.71,n/a
Nicolaus-17,2017,104,21,112,175,175,360.3,45.5,0.5,1.0,3.072,95.89627055,0.79,0.78,0.79,n/a
Nicolaus-17,2017,105,21,113,275,275,393.5,45.5,0.5,1.0,3.345,111.34592299,0.80,0.79,0.73,n/a
Nicolaus-17,2017,106,21,114,45,45,284.6,45.5,0.5,1.0,3.202,63.60481576,0.68,0.69,0.68,n/a
Nicolaus-17,2017,107,21,115,75,75,289.8,45.5,0.5,1.0,3.248,62.68908226,0.63,0.56,0.53,n/a
Nicolaus-17,2017,201,22,116,275,275,364.0,45.5,0.5,1.0,3.201,105.86882911,0.78,0.77,0.77,n/a
Nicolaus-17,2017,202,22,117,75,75,275.1,45.5,0.5,1.0,3.184,70.10665920,0.66,0.65,0.63,n/a
Nicolaus-17,2017,203,22,118,125,125,284.3,45.5,0.5,1.0,3.14,77.91064182,0.68,0.68,0.64,n/a
Nicolaus-17,2017,204,22,119,0,0,262.3,45.5,0.5,1.0,3.209,57.29997900,0.54,0.50,0.50,n/a
Nicolaus-17,2017,205,22,120,175,175,362.7,45.5,0.5,1.0,3.305,102.02314134,0.77,0.75,0.77,n/a
Nicolaus-17,2017,206,22,121,45,45,296.3,45.5,0.5,1.0,3.226,74.29007250,0.63,0.66,0.68,n/a
Nicolaus-17,2017,207,22,122,225,225,375.2,45.5,0.5,1.0,3.374,109.48704323,0.78,0.79,0.78,n/a
Nicolaus-17,2017,301,23,123,275,275,345.6,45.5,0.5,1.0,3.034,106.06697243,0.76,0.74,0.74,n/a
Nicolaus-17,2017,302,23,124,125,125,314.0,45.5,0.5,1.0,3.255,87.71966691,0.65,0.68,0.66,n/a
Nicolaus-17,2017,303,23,125,45,45,284.8,45.5,0.5,1.0,3.375,69.93567227,0.57,0.62,0.65,n/a
Nicolaus-17,2017,304,23,126,175,175,339.0,45.5,0.5,1.0,3.127,92.69552118,0.72,0.75,0.75,n/a
Nicolaus-17,2017,305,23,127,225,225,354.9,45.5,0.5,1.0,3.267,118.01104507,0.79,0.79,0.79,n/a
Nicolaus-17,2017,306,23,128,0,0,280.2,45.5,0.5,1.0,3.394,59.47831724,0.49,0.54,0.50,n/a
Nicolaus-17,2017,307,23,129,75,75,316.0,45.5,0.5,1.0,3.44,79.94340795,0.66,0.68,0.72,n/a
Nicolaus-17,2017,401,24,130,45,45,291.5,45.5,0.5,1.0,3.134,66.67318719,0.65,0.60,0.63,n/a
Nicolaus-17,2017,402,24,131,125,125,337.0,45.5,0.5,1.0,3.364,87.88198043,0.65,0.74,0.63,n/a
Nicolaus-17,2017,403,24,132,225,225,416.8,45.5,0.5,1.0,3.181,102.89552731,0.80,0.79,0.79,n/a
Nicolaus-17,2017,404,24,133,175,175,316.2,45.5,0.5,1.0,3.134,70.74982929,0.68,0.70,0.74,n/a
Nicolaus-17,2017,405,24,134,0,0,244.0,45.5,0.5,1.0,3.107,48.29330221,0.52,0.49,0.54,n/a
Nicolaus-17,2017,406,24,135,75,75,312.4,45.5,0.5,1.0,3.12,79.19202175,0.72,0.69,0.74,n/a
Nicolaus-17,2017,407,24,136,275,275,411.9,45.5,0.5,1.0,3.44,107.66669726,0.81,0.80,0.79,n/a
Williams-17,2017,101,17,81,225,225,317.0,41.6,0.5,1.0,3.105,88.16269429,0.79,0.75,0.81,n/a
Williams-17,2017,102,17,82,0,0,224.1,41.6,0.5,1.0,3.442,46.48371070,0.43,0.31,0.33,n/a
Williams-17,2017,103,17,83,125,125,276.1,41.6,0.5,1.0,3.47,69.92981232,0.63,0.72,0.65,n/a
Williams-17,2017,104,17,84,175,175,338.4,41.6,0.5,1.0,3.398,94.75927768,0.81,0.79,0.80,n/a
Williams-17,2017,105,17,85,275,275,292.5,41.6,0.5,1.0,3.082,90.17663128,0.79,0.81,0.77,n/a
Williams-17,2017,106,17,86,45,45,306.6,41.6,0.5,1.0,3.126,57.21407720,0.69,0.73,0.73,n/a
Williams-17,2017,107,17,87,75,75,310.5,41.6,0.5,1.0,3.033,50.10673931,0.64,0.73,0.65,n/a
Williams-17,2017,201,18,88,275,275,338.1,41.6,0.5,1.0,3.149,91.87784721,0.81,0.81,0.80,n/a
Williams-17,2017,202,18,89,75,75,317.4,41.6,0.5,1.0,3.237,68.27309755,0.77,0.76,0.77,n/a
Williams-17,2017,203,18,90,125,125,290.8,41.6,0.5,1.0,3.209,78.02888824,0.74,0.78,0.77,n/a
Williams-17,2017,204,18,91,0,0,248.5,41.6,0.5,1.0,3.092,41.39838487,0.41,0.48,0.46,n/a
Williams-17,2017,205,18,92,175,175,366.0,41.6,0.5,1.0,3.099,78.47164210,0.81,0.81,0.81,n/a
Williams-17,2017,206,18,93,45,45,388.5,41.6,0.5,1.0,3.328,53.62169743,0.67,0.70,0.74,n/a
Williams-17,2017,207,18,94,225,225,405.1,41.6,0.5,1.0,3.439,90.77598210,0.82,0.81,0.82,n/a
Williams-17,2017,301,19,95,275,275,395.2,41.6,0.5,1.0,3.376,92.75571222,0.83,0.82,0.82,n/a
Williams-17,2017,302,19,96,125,125,390.0,41.6,0.5,1.0,3.296,80.93302351,0.80,0.80,0.78,n/a
Williams-17,2017,303,19,97,45,45,297.0,41.6,0.5,1.0,3.145,47.57701633,0.71,0.67,0.71,n/a
Williams-17,2017,304,19,98,175,175,317.8,41.6,0.5,1.0,3.407,88.18773490,0.79,0.76,0.77,n/a
Williams-17,2017,305,19,99,225,225,346.5,41.6,0.5,1.0,3.082,88.70038408,0.75,0.79,0.78,n/a
Williams-17,2017,306,19,100,0,0,237.2,41.6,0.5,1.0,3.045,41.93712111,0.40,0.44,0.45,n/a
Williams-17,2017,307,19,101,75,75,319.6,41.6,0.5,1.0,3.332,65.29106559,0.66,0.71,0.65,n/a
Williams-17,2017,401,20,102,45,45,251.3,41.6,0.5,1.0,3.181,55.83259903,0.72,0.65,0.71,n/a
Williams-17,2017,402,20,103,125,125,325.2,41.6,0.5,1.0,3.425,68.77998360,0.74,0.76,0.75,n/a
Williams-17,2017,403,20,104,225,225,358.0,41.6,0.5,1.0,3.37,103.13999886,0.80,0.79,0.80,n/a
Williams-17,2017,404,20,105,175,175,366.2,41.6,0.5,1.0,3.4,89.48206217,0.80,0.81,0.80,n/a
Williams-17,2017,405,20,106,0,0,178.6,41.6,0.5,1.0,3.294,40.64470555,0.36,0.36,0.43,n/a
Williams-17,2017,406,20,107,75,75,315.6,41.6,0.5,1.0,3.379,56.14530364,0.62,0.69,0.71,n/a
Williams-17,2017,407,20,108,275,275,307.0,41.6,0.5,1.0,3.278,95.90919381,0.79,0.79,0.81,n/a
Arbuckle-18,2018,101,29,161,180,202,216.4,41.8,0.5,1.0,3.823,98.89288582,0.75,0.68,0.74,0.75
Arbuckle-18,2018,102,29,162,210,235,208.8,41.8,0.5,1.0,3.79,107.47838948,0.73,0.75,0.72,0.67
Arbuckle-18,2018,103,29,163,120,135,199.8,41.8,0.5,1.0,3.846,71.52525731,0.63,0.60,0.68,0.66
Arbuckle-18,2018,104,29,164,0,0,86.0,41.8,0.5,1.0,3.422,78.92137682,n/a,0.23,0.17,0.28
Arbuckle-18,2018,105,29,165,150,168,228.9,41.8,0.5,1.0,3.612,48.89883454,0.73,0.71,0.71,0.70
Arbuckle-18,2018,106,29,166,150,168,262.8,41.8,0.5,1.0,3.392,77.21352859,0.72,0.71,0.68,0.73
Arbuckle-18,2018,201,30,167,210,235,272.5,41.8,0.5,1.0,3.564,100.03670841,0.75,0.73,0.75,0.74
Arbuckle-18,2018,202,30,168,90,101,188.8,41.8,0.5,1.0,3.451,59.60270345,0.64,0.65,0.59,0.55
Arbuckle-18,2018,203,30,169,0,0,83.3,41.8,0.5,1.0,3.174,42.51112714,n/a,0.15,0.14,0.15
Arbuckle-18,2018,204,30,170,180,202,205.5,41.8,0.5,1.0,3.682,95.46310032,0.72,0.76,0.75,0.72
Arbuckle-18,2018,205,30,171,120,135,483.9,41.8,1.0,2.0,3.679,73.79972469,0.70,0.72,0.66,0.66
Arbuckle-18,2018,206,30,172,90,101,176.8,41.8,0.5,1.0,3.475,65.27625484,0.60,0.60,0.57,0.64
Arbuckle-18,2018,301,31,173,210,235,244.3,41.8,0.5,1.0,3.689,111.49035514,0.74,0.73,0.74,0.76
Arbuckle-18,2018,302,31,174,0,0,78.3,41.8,0.5,1.0,3.581,47.37175437,n/a,0.19,0.20,0.22
Arbuckle-18,2018,303,31,175,150,168,254.9,41.8,0.5,1.0,3.034,70.38844419,0.66,0.70,0.65,0.69
Arbuckle-18,2018,304,31,176,90,101,214.6,41.8,0.5,1.0,3.895,70.95681570,0.55,0.65,0.60,0.60
Arbuckle-18,2018,305,31,177,180,202,267.9,41.8,0.5,1.0,3.588,92.03583824,0.71,0.73,0.72,0.73
Arbuckle-18,2018,306,31,178,120,135,247.2,41.8,0.5,2.0,3.746,78.92137682,0.60,0.63,0.68,0.67
Arbuckle-18,2018,401,32,179,90,101,193.8,41.8,0.5,1.0,3.327,59.03573383,0.60,0.62,0.61,0.61
Arbuckle-18,2018,402,32,180,210,235,257.0,41.8,0.5,1.0,3.189,93.74915385,0.76,0.76,0.74,0.75
Arbuckle-18,2018,403,32,181,0,0,97.5,41.8,0.5,1.0,3.41,41.32501731,n/a,0.20,0.29,0.23
Arbuckle-18,2018,404,32,182,180,202,254.6,41.8,0.5,1.0,3.465,93.74915385,0.74,0.74,0.76,0.75
Arbuckle-18,2018,405,32,183,150,168,230.9,41.8,0.5,1.0,3.017,65.84399550,0.70,0.70,0.73,0.69
Arbuckle-18,2018,406,32,184,120,135,209.2,41.8,0.5,1.0,3.698,69.82014277,0.65,0.69,0.69,0.63
Biggs-18,2018,102,37,209,180,202,311.8,41.8,0.5,1,3.916,92.60687335,0.76,0.71,0.75,0.77
Biggs-18,2018,103,37,210,210,235,355.3,41.8,0.5,2,3.909,96.034556,0.78,0.79,0.77,0.78
Biggs-18,2018,104,37,211,120,135,315.2,41.8,0.5,1,3.447,65.8439955,0.73,0.74,0.72,0.74
Biggs-18,2018,105,37,212,0,0,168.1,41.8,0.5,1,3.424,44.319127,0.34,0.37,0.34,0.40
Biggs-18,2018,106,37,213,150,168,337.4,41.8,0.5,1,3.663,82.90880934,0.78,0.78,0.75,0.75
Biggs-18,2018,201,38,214,150,168,309.2,41.8,0.5,1,3.164,74.36851677,0.77,0.75,0.78,0.77
Biggs-18,2018,202,38,215,210,235,344.5,41.8,0.5,1,3.157,86.32934233,0.79,0.78,0.79,0.79
Biggs-18,2018,203,38,216,90,101,260.3,41.8,0.5,1,3.352,55.91865388,0.69,0.70,0.67,0.69
Biggs-18,2018,204,38,217,0,0,163.5,41.8,0.5,1,3.23,40.19567628,0.49,0.45,0.34,0.38
Biggs-18,2018,205,38,218,180,202,334.1,41.8,0.5,1,3.516,94.32039925,0.79,0.77,0.76,0.78
Biggs-18,2018,206,38,219,120,135,312.9,41.8,0.5,1,3.762,79.49079975,0.76,0.73,0.65,0.74
Biggs-18,2018,301,39,220,210,235,326.1,41.8,0.5,1,3.771,97.74934361,0.78,0.79,0.77,0.77
Biggs-18,2018,302,39,221,0,0,139.9,41.8,0.5,1,3.409,35.39910491,n/a,0.37,0.35,0.44
Biggs-18,2018,303,39,222,150,168,333.3,41.8,0.5,1,3.35,80.06029278,0.78,0.77,0.75,0.73
Biggs-18,2018,304,39,223,90,101,382.9,41.8,0.5,2,3.759,94.89171474,0.78,0.75,0.71,0.75
Biggs-18,2018,305,39,224,180,202,335.4,41.8,0.5,1,3.124,102.8974915,0.80,0.77,0.76,0.79
Biggs-18,2018,306,39,225,120,135,281.4,41.8,0.5,1,3.131,73.2310027,0.77,0.76,0.74,0.77
Biggs-18,2018,401,40,226,90,101,308.2,41.8,0.5,1,3.412,90.32315347,0.71,0.69,0.72,0.71
Biggs-18,2018,402,40,227,210,235,382.4,41.8,0.5,1,3.641,62.43860296,0.81,0.79,0.78,0.79
Biggs-18,2018,403,40,228,0,0,172.7,41.8,0.5,1,3.184,38.38931383,n/a,0.43,0.52,0.57
Biggs-18,2018,404,40,229,180,202,384.9,41.8,0.5,2,3.938,102.3251947,0.78,0.74,0.75,0.75
Biggs-18,2018,405,40,230,150,168,287.9,41.8,0.5,1,3.38,72.66235081,0.75,0.73,0.73,0.71
Biggs-18,2018,406,40,231,120,135,311.3,41.8,0.5,1,3.018,55.46543707,0.72,0.69,0.69,0.70
Marysville-18,2018,101,33,185,90,101,276.8,41.8,0.5,1,3.375,100.0367084,0.68,0.66,0.68,0.69
Marysville-18,2018,102,33,186,180,202,307.3,41.8,0.5,1,3.118,102.8974915,0.77,0.75,0.73,0.75
Marysville-18,2018,103,33,187,210,235,309.6,41.8,0.5,1,3.055,105.760027,0.74,0.75,0.74,0.76
Marysville-18,2018,104,33,188,120,135,326.3,41.8,0.5,2,3.237,91.46487322,0.72,0.70,0.68,0.67
Marysville-18,2018,105,33,189,0,0,193,41.8,0.5,1,3.652,64.14098381,n/a,0.43,0.41,0.51
Marysville-18,2018,106,33,190,150,168,304.9,41.8,0.5,1,3.748,117.801812,0.74,0.75,0.73,0.76
Marysville-18,2018,201,34,191,150,168,294.9,41.8,0.5,1,3.779,118.9502608,0.73,0.71,0.65,0.71
Marysville-18,2018,202,34,192,210,235,285.5,41.8,0.5,1,3.241,117.2276927,0.78,0.70,0.66,0.74
Marysville-18,2018,203,34,193,90,101,270.5,41.8,0.5,1,3.174,102.8974915,0.70,0.68,0.68,0.71
Marysville-18,2018,204,34,194,0,0,199.7,41.8,0.5,1,3.965,69.82014277,n/a,0.49,0.42,0.46
Marysville-18,2018,205,34,195,180,202,298.3,41.8,0.5,1,3.39,112.6372619,0.76,0.73,0.70,0.72
Marysville-18,2018,206,34,196,120,135,287.2,41.8,0.5,1,3.482,110.9170069,0.71,0.58,0.58,0.70
Marysville-18,2018,301,35,197,210,235,293.4,41.8,0.5,1,3.332,112.0637735,0.75,0.72,0.68,0.74
Marysville-18,2018,302,35,198,0,0,235.2,41.8,0.5,1,3.639,58.46883431,n/a,0.37,0.44,0.65
Marysville-18,2018,303,35,199,150,168,314.2,41.8,0.5,1,3.009,102.3251947,0.70,0.72,0.73,0.72
Marysville-18,2018,304,35,200,90,101,321.5,41.8,0.5,2,3.668,119.5245904,0.59,0.66,0.69,0.69
Marysville-18,2018,305,35,201,180,202,289,41.8,0.5,1,3.141,106.3327444,0.67,0.72,0.72,0.69
Marysville-18,2018,306,35,202,120,135,269.3,41.8,0.5,1,3.54,112.6372619,0.65,0.70,0.64,0.69
Marysville-18,2018,401,36,203,90,101,276.2,41.8,0.5,2,3.177,76.64438603,0.71,0.65,0.68,0.67
Marysville-18,2018,402,36,204,210,235,315.4,41.8,0.5,1,3.854,142.5552505,0.73,0.71,0.73,0.72
Marysville-18,2018,403,36,205,0,0,161,41.8,0.5,1,3.47,55.69203986,n/a,0.50,0.45,0.40
Marysville-18,2018,404,36,206,180,202,268.6,41.8,0.5,1,3.349,118.9502608,0.71,0.72,0.68,0.72
Marysville-18,2018,405,36,207,150,168,292.8,41.8,0.5,1,3.733,125.8468418,0.73,0.70,0.68,0.68
Marysville-18,2018,406,36,208,120,135,262.4,41.8,0.5,1,3.785,118.9502608,0.68,0.65,0.64,0.73
Nicolaus-18,2018,101,25,137,90,101,340.1,41.8,0.5,1.0,3.723,82.90880934,0.69,0.70,0.72,0.71
Nicolaus-18,2018,102,25,138,180,202,388.1,41.8,0.5,1.0,3.36,93.74915385,0.75,0.76,0.76,0.77
Nicolaus-18,2018,103,25,139,210,235,366.7,41.8,0.5,1.0,3.563,108.05131714,0.77,0.78,0.76,0.74
Nicolaus-18,2018,104,25,140,120,135,340.5,41.8,0.5,1.0,3.281,80.62985590,0.73,0.74,0.75,0.72
Nicolaus-18,2018,105,25,141,0,0,295.1,41.8,0.5,1.0,3.864,63.00599315,0.60,0.59,0.57,0.62
Nicolaus-18,2018,106,25,142,150,168,376.2,41.8,0.5,1.0,3.661,81.76919243,0.70,0.74,0.74,0.75
Nicolaus-18,2018,201,26,143,150,168,392.5,41.8,0.5,1.0,3.756,94.32039925,0.76,0.75,0.75,0.76
Nicolaus-18,2018,202,26,144,210,235,405.9,41.8,0.5,1.0,3.707,113.78444903,0.78,0.76,0.76,0.77
Nicolaus-18,2018,203,26,145,90,101,336.7,41.8,0.5,1.0,3.929,83.47872293,0.69,0.67,0.71,0.69
Nicolaus-18,2018,204,26,146,0,0,233.9,41.8,0.5,1.0,3.045,39.80047317,0.58,0.61,0.60,0.60
Nicolaus-18,2018,205,26,147,180,202,395.9,41.8,0.5,1.0,3.255,91.46487322,0.77,0.74,0.78,0.76
Nicolaus-18,2018,206,26,148,120,135,368.9,41.8,0.5,1.0,3.599,84.04870662,0.72,0.74,0.73,0.72
Nicolaus-18,2018,301,27,149,210,235,382.1,41.8,0.5,1.0,3.801,109.77052072,0.78,0.77,0.77,0.77
Nicolaus-18,2018,302,27,150,0,0,279.5,41.8,0.5,1.0,3.608,55.40878812,0.58,0.55,0.58,0.62
Nicolaus-18,2018,303,27,151,150,168,378.7,41.8,0.5,1.0,3.602,97.17767764,0.76,0.74,0.72,0.74
Nicolaus-18,2018,304,27,152,90,101,316.7,41.8,0.5,1.0,3.034,59.60270345,0.73,0.72,0.71,0.70
